"id","pais_id","nombre","slug"
"511","29","Manabí","manabi"
"512","29","Esmeraldas","esmeraldas"
"513","29","Carchi","carchi"
"514","29","Los Ríos","los-rios"
"515","29","Cotopaxi","cotopaxi"
"516","29","Orellana Province","orellana-province"
"517","29","Canar","canar"
"518","29","Pastaza Province","pastaza-province"
"519","29","Sucumbíos","sucumbios"
"520","29","Morona-Santiago Province","morona-santiago-province"
"521","29","Bolívar","bolivar"
"522","29","Napo","napo"
"523","29","Zamora Chinchipe","zamora-chinchipe"
"524","29","Galápagos","galapagos"
"525","30","Demerara-Mahaica","demerara-mahaica"
"526","30","Guyana","guyana"
"527","30","Upper Takutu-Upper Essequibo","upper-takutu-upper-essequibo"
"528","30","Cuyuni-Mazaruni","cuyuni-mazaruni"
"529","30","East Berbice-Corentyne","east-berbice-corentyne"
"530","30","Upper Demerara-Berbice","upper-demerara-berbice"
"531","30","Pomeroon-Supenaam","pomeroon-supenaam"
"532","30","Potaro-Siparuni","potaro-siparuni"
"533","30","Essequibo Islands-West Demerara","essequibo-islands-west-demerara"
"534","30","Barima-Waini","barima-waini"
"535","30","Mahaica-Berbice","mahaica-berbice"
"536","31","Asuncion","asuncion"
"537","31","Itapúa","itapua"
"538","31","Paraguay","paraguay"
"539","31","Alto Paraná Department","alto-parana-department"
"540","31","Central Department","central-department"
"541","31","Concepción","concepcion"
"542","31","Paraguarí","paraguari"
"543","31","Cordillera Department","cordillera-department"
"544","31","Guairá","guaira"
"545","31","Caazapá","caazapa"
"546","31","Amambay Department","amambay-department"
"547","31","Presidente Hayes","presidente-hayes"
"548","31","Caaguazú Department","caaguazu-department"
"549","31","Ñeembucú Department","neembucu-department"
"550","31","Boquerón Department","boqueron-department"
"551","31","Misiones Department","misiones-department"
"552","31","San Pedro Department","san-pedro-department"
"553","31","Canindeyú","canindeyu"
"554","31","Alto Paraguay","alto-paraguay"
"555","32","Lima Province","lima-province"
"556","32","Cuzco Department","cuzco-department"
"557","32","Perú","peru"
"558","32","Arequipa","arequipa"
"559","32","Ica","ica"
"560","32","Ancash","ancash"
"561","32","La Libertad","la-libertad"
"562","32","Lambayeque","lambayeque"
"563","32","Amazonas","amazonas"
"564","32","San Martín Department","san-martin-department"
"565","32","Piura","piura"
"566","32","Tumbes","tumbes"
"567","32","Madre de Dios","madre-de-dios"
"568","32","Callao","callao"
"569","32","Junin","junin"
"570","32","Loreto","loreto"
"571","32","Ucayali","ucayali"
"572","32","Tacna","tacna"
"573","32","Puno","puno"
"574","32","Cajamarca Department","cajamarca-department"
"575","32","Huánuco Department","huanuco-department"
"576","32","Ayacucho","ayacucho"
"577","32","Lima region","lima-region"
"578","32","Apurímac Department","apurimac-department"
"579","32","Moquegua Department","moquegua-department"
"580","32","Pasco","pasco"
"581","32","Huancavelica","huancavelica"
"582","33","Paramaribo District","paramaribo-district"
"583","33","Surinam","surinam"
"584","33","Nickerie District","nickerie-district"
"585","33","Marowijne District","marowijne-district"
"586","33","Commewijne District","commewijne-district"
"587","33","Coronie District","coronie-district"
"588","33","Wanica District","wanica-district"
"589","33","Brokopondo District","brokopondo-district"
"590","33","Saramacca District","saramacca-district"
"591","33","Para District","para-district"
"592","34","Montevideo Department","montevideo-department"
"593","34","Maldonado","maldonado"
"594","34","Colonia","colonia"
"595","34","Uruguay","uruguay"
"596","34","Salto Department","salto-department"
"597","34","Canelones","canelones"
"598","34","Tacuarembó Department","tacuarembo-department"
"599","34","Río Negro Department","rio-negro-department"
"600","34","Soriano","soriano"
"601","34","Paysandú Department","paysandu-department"
"602","34","Lavalleja","lavalleja"
"603","34","Rivera Department","rivera-department"
"604","34","Cerro Largo","cerro-largo"
"605","34","Artigas","artigas"
"606","34","San José Department","san-jose-department"
"607","34","Durazno Department","durazno-department"
"608","34","Florida","florida"
"609","34","Treinta y Tres Department","treinta-y-tres-department"
"610","34","Rocha Department","rocha-department"
"611","34","Flores Department","flores-department"
"612","35","Distrito Federal","distrito-federal"
"613","35","Venezuela","venezuela"
"614","35","Dependencias Federales","dependencias-federales"
"615","35","Mérida","merida"
"616","35","Falcón","falcon"
"617","35","Aragua","aragua"
"618","35","Carabobo","carabobo"
"619","35","Anzoátegui","anzoategui"
"620","35","Sucre","sucre"
"621","35","Barinas","barinas"
"622","35","Bolívar","bolivar"
"623","35","Zulia","zulia"
"624","35","Lara","lara"
"625","35","Monagas","monagas"
"626","35","Miranda","miranda"
"627","35","Táchira","tachira"
"628","35","Trujillo","trujillo"
"629","35","Apure","apure"
"630","35","Nueva Esparta","nueva-esparta"
"631","35","Yaracuy","yaracuy"
"632","35","Portuguesa","portuguesa"
"633","35","Guárico","guarico"
"634","35","Amazonas","amazonas"
"635","35","Cojedes","cojedes"
"636","35","Vargas","vargas"
"637","35","Delta Amacuro","delta-amacuro"
"638","36","Kabul","kabul"
"639","36","Afganistán","afganistan"
"640","36","Herat","herat"
"641","36","Balkh","balkh"
"642","36","Kandahar","kandahar"
"643","36","Nangarhar","nangarhar"
"644","36","Jowzjan","jowzjan"
"645","36","Paktia","paktia"
"646","36","Ghazni","ghazni"
"647","36","Kunduz","kunduz"
"648","36","Baghlan","baghlan"
"649","36","Khowst","khowst"
"650","36","Faryab","faryab"
"651","36","Panjshir","panjshir"
"652","36","Takhar","takhar"
"653","36","Bamyan","bamyan"
"654","36","Parwan","parwan"
"655","36","Sar-e Pol Province","sar-e-pol-province"
